,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2/14/04 17:12,0.061399922,0.075277113,0.077832609,0.043999756
2/14/04 17:22,0.061597148,0.075005811,0.076357928,0.043876263
2/14/04 17:32,0.061060892,0.074207139,0.076612042,0.044145222
2/14/04 17:42,0.060348747,0.074658284,0.077447629,0.043883686
2/14/04 17:52,0.059197275,0.074452219,0.075758924,0.044504907
2/14/04 18:02,0.059458665,0.074066312,0.07527472,0.043644416
2/14/04 18:12,0.060335759,0.074164266,0.077071048,0.043111041
2/14/04 18:22,0.06131442,0.074535671,0.076309244,0.04395366
2/14/04 18:32,0.059259192,0.074716539,0.07641501,0.044200303
2/14/04 18:42,0.062384003,0.075517945,0.077920406,0.04434948
2/14/04 18:52,0.061405928,0.074778505,0.077777675,0.044701353
2/14/04 19:02,0.061936227,0.0746931,0.077348601,0.043785781
2/14/04 19:12,0.06097285,0.075020606,0.076515504,0.044835685
2/14/04 19:22,0.060815958,0.074557644,0.075507154,0.043418624
2/14/04 19:32,0.060482983,0.074149324,0.076466527,0.043880121
2/14/04 19:42,0.060903755,0.074239709,0.078035646,0.043949509
2/14/04 19:52,0.060319937,0.07222589,0.076573124,0.044353875
2/14/04 20:02,0.061468285,0.074325065,0.077990039,0.04437702
2/14/04 20:12,0.06038288,0.074392646,0.078228869,0.044045022
2/14/04 20:22,0.061992822,0.074106451,0.077530983,0.044382441
2/14/04 20:32,0.06078412,0.072995068,0.076163338,0.044416915
2/14/04 20:42,0.060761951,0.073720104,0.075654573,0.043157234
2/14/04 20:52,0.059587626,0.072947996,0.075802432,0.042929
2/14/04 21:02,0.060476146,0.073418136,0.077524537,0.044092729
2/14/04 21:12,0.060766541,0.074543972,0.078434592,0.044134723
2/14/04 21:22,0.060551199,0.074700913,0.07612232,0.044127252
2/14/04 21:32,0.061151814,0.074543972,0.076466136,0.044148298
2/14/04 21:42,0.059999121,0.074505054,0.07451399,0.04401543
2/14/04 21:52,0.06182465,0.075210557,0.077733141,0.043693003
2/14/04 22:02,0.061580839,0.074748914,0.077025148,0.04415113
2/14/04 22:12,0.060121148,0.074337761,0.077198203,0.043744812
2/14/04 22:22,0.060929782,0.074762488,0.076070609,0.043747449
2/14/04 22:32,0.060423116,0.074193857,0.077169784,0.043537136
2/14/04 22:42,0.059452317,0.073145368,0.074777186,0.043355877
2/14/04 22:52,0.060602227,0.073543825,0.076613604,0.043959959
2/14/04 23:02,0.061344548,0.074100591,0.077269544,0.044405
2/14/04 23:12,0.061220421,0.074491772,0.078167489,0.044513111
2/14/04 23:22,0.060433664,0.07491982,0.077557596,0.043832072
2/14/04 23:32,0.060962254,0.074206748,0.076616143,0.044257776
2/14/04 23:42,0.061006104,0.074808633,0.07914991,0.04415909
2/14/04 23:52,0.060592119,0.074103765,0.075680453,0.043240588
2/15/04 0:02,0.061611456,0.074014844,0.076420821,0.043768641
2/15/04 0:12,0.059739782,0.073791689,0.076822403,0.043598906
2/15/04 0:22,0.059271107,0.07453738,0.074422042,0.044362811
2/15/04 0:32,0.059799893,0.073961424,0.076216563,0.043940231
2/15/04 0:42,0.061272181,0.07359959,0.076825187,0.04404595
2/15/04 0:52,0.061436887,0.074384931,0.076194931,0.043550271
2/15/04 1:02,0.060031642,0.074471556,0.079343913,0.043581523
2/15/04 1:12,0.061380292,0.074686264,0.076307095,0.04530021
2/15/04 1:22,0.06080502,0.074039895,0.075294887,0.044109917
2/15/04 1:32,0.060475072,0.073321256,0.075526735,0.043839396
2/15/04 1:42,0.059929635,0.074234191,0.075694126,0.043442502
2/15/04 1:52,0.061774257,0.073412032,0.077170321,0.043475365
2/15/04 2:02,0.061135016,0.074774696,0.080046828,0.044362127
2/15/04 2:12,0.061120367,0.073099956,0.077217149,0.043957566
2/15/04 2:22,0.060758631,0.074487377,0.078568875,0.043184775
2/15/04 2:32,0.059352263,0.07282045,0.078041604,0.043326188
2/15/04 2:42,0.06045427,0.075039406,0.077285658,0.044461009
2/15/04 2:52,0.060123981,0.073761219,0.077582939,0.043324918
2/15/04 3:02,0.059872894,0.072760584,0.075613995,0.044784462
2/15/04 3:12,0.059211778,0.074707896,0.076584941,0.043517603
2/15/04 3:22,0.061467454,0.073433273,0.078218614,0.044429025
2/15/04 3:32,0.061618487,0.074644709,0.075999756,0.044277601
2/15/04 3:42,0.061253919,0.07375072,0.077135749,0.043651057
2/15/04 3:52,0.061407832,0.075501685,0.078065433,0.044264515
2/15/04 4:02,0.062244153,0.07488476,0.077422921,0.043310074
2/15/04 4:12,0.061872797,0.075079936,0.076889204,0.043776747
2/15/04 4:22,0.060894526,0.074325748,0.076662337,0.044263782
2/15/04 4:32,0.060628693,0.074860784,0.077182138,0.044109673
2/15/04 4:42,0.061670199,0.073922555,0.076620636,0.043782558
2/15/04 4:52,0.058805459,0.073129743,0.074208018,0.043357488
2/15/04 5:02,0.060977245,0.074060452,0.078595146,0.043699448
2/15/04 5:12,0.060901948,0.074166756,0.07702339,0.043897749
2/15/04 5:22,0.059430001,0.07310606,0.075478295,0.043438107
2/15/04 5:32,0.060442795,0.074493335,0.077618878,0.043219151
2/15/04 5:42,0.058292934,0.072644807,0.073928463,0.043503736
2/15/04 5:52,0.060830851,0.073487133,0.075213389,0.044237902
2/15/04 6:02,0.060459056,0.073843401,0.07690981,0.044408223
2/15/04 6:12,0.060355437,0.074666683,0.075705943,0.043423605
2/15/04 6:22,0.060025538,0.072515406,0.075792226,0.043639191
2/15/04 6:32,0.06029894,0.07362879,0.078036428,0.043352654
2/15/04 6:42,0.059979735,0.073318961,0.076727916,0.044674886
2/15/04 6:52,0.060740466,0.073129108,0.076700327,0.043697202
2/15/04 7:02,0.06074906,0.075223155,0.076518824,0.044316275
2/15/04 7:12,0.060092924,0.073953367,0.076598857,0.043559939
2/15/04 7:22,0.060085942,0.072140388,0.075312662,0.044188974
2/15/04 7:32,0.060694077,0.074087065,0.077581425,0.043647639
2/15/04 7:42,0.060730993,0.073993945,0.077207286,0.043926901
2/15/04 7:52,0.060631037,0.073764442,0.076849407,0.04333234
2/15/04 8:02,0.061345866,0.073817227,0.076017286,0.04395532
2/15/04 8:12,0.060615655,0.073128424,0.076694809,0.044382196
2/15/04 8:22,0.06035866,0.073102984,0.075491772,0.043017921
2/15/04 8:32,0.060164119,0.074404072,0.077678012,0.044458079
2/15/04 8:42,0.061543239,0.074543679,0.076867474,0.043868792
2/15/04 8:52,0.060791933,0.073522779,0.076934421,0.044001904
2/15/04 9:02,0.060599736,0.074467357,0.078293227,0.043692221
2/15/04 9:12,0.060274037,0.07415948,0.075683676,0.043770887
2/15/04 9:22,0.061246448,0.07474154,0.077802871,0.044332682
2/15/04 9:32,0.060658089,0.073845451,0.076425656,0.044210899
2/15/04 9:42,0.060507886,0.073526881,0.077378583,0.043251526
2/15/04 9:52,0.05987934,0.073674496,0.076384687,0.045047756
2/15/04 10:02,0.060685776,0.074631769,0.077234386,0.044175741
2/15/04 10:12,0.061259241,0.073824698,0.076369745,0.043861712
2/15/04 10:22,0.061238684,0.073845891,0.076257923,0.043891987
2/15/04 10:32,0.060959129,0.074498462,0.076289321,0.04322921
2/15/04 10:42,0.060307388,0.073226671,0.075188583,0.043280336
2/15/04 10:52,0.061288637,0.074106499,0.076945847,0.043786122
2/15/04 11:02,0.061655647,0.074759998,0.076069583,0.043547683
2/15/04 11:12,0.0605741,0.073733923,0.078334977,0.044990283
2/15/04 11:22,0.060179843,0.072930417,0.076648762,0.043536647
2/15/04 11:32,0.061555203,0.074988232,0.074932907,0.044546902
2/15/04 11:42,0.061789052,0.073754871,0.07619205,0.044051565
2/15/04 11:52,0.060817472,0.074145075,0.078237267,0.043640217
2/15/04 12:02,0.061251184,0.073961277,0.075843449,0.043485961
2/15/04 12:12,0.060541677,0.073487084,0.076082377,0.043939938
2/15/04 12:22,0.060525319,0.074382831,0.078142341,0.044174423
2/15/04 12:32,0.060920113,0.073339323,0.077637433,0.042914791
2/15/04 12:42,0.061788808,0.074204649,0.07959539,0.044317935
2/15/04 12:52,0.061652473,0.07433151,0.075826261,0.04374281
2/15/04 13:02,0.061666878,0.074043069,0.076448606,0.044802774
2/15/04 13:12,0.059932321,0.074050881,0.07550188,0.044020558
2/15/04 13:22,0.059951804,0.073974315,0.076824601,0.043490307
2/15/04 13:32,0.060586845,0.074444309,0.077079496,0.044251086
2/15/04 13:42,0.062082572,0.07457913,0.077464232,0.043865667
2/15/04 13:52,0.06075448,0.074319059,0.077034523,0.04308184
2/15/04 14:02,0.062052737,0.074255628,0.077870648,0.043900679
2/15/04 14:12,0.062128668,0.074084526,0.077452659,0.044017091
2/15/04 14:22,0.06188183,0.073684262,0.075902974,0.044325846
2/15/04 14:32,0.061169588,0.073761365,0.074653889,0.044231359
2/15/04 14:42,0.06083549,0.074231212,0.07612442,0.043878314
2/15/04 14:52,0.062807998,0.075034328,0.076953416,0.044901704
2/15/04 15:02,0.062003125,0.073812881,0.078160213,0.044579618
2/15/04 15:12,0.061616192,0.074646809,0.076164071,0.044314957
2/15/04 15:22,0.062516822,0.075023634,0.080416182,0.045117193
2/15/04 15:32,0.061453147,0.075218468,0.078205723,0.044071048
2/15/04 15:42,0.060867718,0.073408711,0.076556521,0.044134577
2/15/04 15:52,0.061036379,0.073962547,0.076296597,0.043323893
2/15/04 16:02,0.060003516,0.073073002,0.075123004,0.04366512
2/15/04 16:12,0.061141413,0.074307095,0.078468871,0.043381073
2/15/04 16:22,0.060398603,0.072555447,0.076803311,0.043618878
2/15/04 16:32,0.061631525,0.074149958,0.078636066,0.044419942
2/15/04 16:42,0.059662288,0.073158894,0.075951902,0.042868939
2/15/04 16:52,0.060506421,0.074215684,0.077986083,0.043824405
2/15/04 17:02,0.060945749,0.074365936,0.075933737,0.044548953
2/15/04 17:12,0.061734655,0.073942429,0.076141169,0.043504077
2/15/04 17:22,0.0599666,0.072442893,0.076272816,0.04452737
2/15/04 17:32,0.062058401,0.074861028,0.076090288,0.043531178
2/15/04 17:42,0.061359246,0.073389716,0.077300942,0.043579228
2/15/04 17:52,0.060732213,0.073937741,0.077263587,0.043670541
2/15/04 18:02,0.061096782,0.072919381,0.07617828,0.044354265
2/15/04 18:12,0.060688754,0.073663607,0.077349968,0.043163826
2/15/04 18:22,0.061176473,0.073996142,0.078569364,0.043382245
2/15/04 18:32,0.059511793,0.07290854,0.076545144,0.043482055
2/15/04 18:42,0.060447776,0.073554129,0.076994043,0.043711998
2/15/04 18:52,0.060217442,0.074481127,0.075764637,0.043922799
